,Location Subdivision,Offence Subdivision,Incidents Recorded
409,38 Recreational,Other crimes against the person,152.0
410,39 Other location,A20 Assault and related offences,301.0
411,39 Other location,A50 Robbery,15.0
412,39 Other location,"A70 Stalking, harassment and threatening behaviour",114.0
413,39 Other location,A80 Dangerous and negligent acts endangering people,97.0
414,39 Other location,B10 Arson,49.0
415,39 Other location,B20 Property damage,455.0
416,39 Other location,B30 Burglary/Break and enter,902.0
417,39 Other location,B40 Theft,1943.0
418,39 Other location,B50 Deception,493.0
419,39 Other location,C10 Drug dealing and trafficking,85.0
420,39 Other location,C20 Cultivate or manufacture drugs,22.0
421,39 Other location,C30 Drug use and possession,247.0
422,39 Other location,D10 Weapons and explosives offences,264.0
423,39 Other location,D20 Disorderly and offensive conduct,165.0
424,39 Other location,D30 Public nuisance offences,92.0
425,39 Other location,E10 Justice procedures,164.0
426,39 Other location,E20 Breaches of orders,668.0
427,39 Other location,F10 Regulatory driving offences,1.0
428,39 Other location,F20 Transport regulation offences,26.0
429,39 Other location,F30 Other government regulatory offences,6.0
430,39 Other location,F90 Miscellaneous offences,851.0
431,39 Other location,Other crimes against the person,125.0
